,Source,SourcePOS,SourceDep,Target,TargetPOS,TargetDep
14,Accredited and legally able to grant a degree .,"['VBN', 'CC', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']","[('root', 0), ('cc', 4), ('advmod', 4), ('conj', 1), ('mark', 6), ('xcomp', 4), ('det', 8), ('obj', 6), ('punct', 1)]",It is accredited and legally able to grant a degree .,"['PRP', 'VBZ', 'VBN', 'CC', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']","[('nsubj:pass', 3), ('aux:pass', 3), ('root', 0), ('cc', 6), ('advmod', 6), ('conj', 3), ('mark', 8), ('xcomp', 6), ('det', 10), ('obj', 8), ('punct', 3)]"
15,"Have programs in clinical psychology , forensic psychology , industrial-organizational psychology , or sports psychology .","['VB', 'NNS', 'IN', 'JJ', 'NN', ',', 'JJ', 'NN', ',', 'JJ', 'HYPH', 'JJ', 'NN', ',', 'CC', 'NNS', 'NN', '.']","[('root', 0), ('obj', 1), ('case', 5), ('amod', 5), ('nmod', 2), ('punct', 8), ('amod', 8), ('conj', 5), ('punct', 13), ('amod', 12), ('punct', 12), ('amod', 13), ('conj', 5), ('punct', 17), ('cc', 17), ('compound', 17), ('conj', 5), ('punct', 1)]","It offers programs in clinical psychology , forensic psychology , industrial-organizational psychology , or sports psychology .","['PRP', 'VBZ', 'NNS', 'IN', 'JJ', 'NN', ',', 'JJ', 'NN', ',', 'JJ', 'HYPH', 'JJ', 'NN', ',', 'CC', 'NNS', 'NN', '.']","[('nsubj', 2), ('root', 0), ('obj', 2), ('case', 6), ('amod', 6), ('nmod', 3), ('punct', 9), ('amod', 9), ('conj', 6), ('punct', 14), ('amod', 13), ('punct', 13), ('amod', 14), ('conj', 6), ('punct', 18), ('cc', 18), ('compound', 18), ('conj', 6), ('punct', 2)]"
16,Avoid picking at the butterfly bandage or you could accidentally open the wound .,"['VB', 'VBG', 'IN', 'DT', 'NN', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']","[('root', 0), ('xcomp', 1), ('case', 6), ('det', 6), ('compound', 6), ('obl', 2), ('cc', 11), ('nsubj', 11), ('aux', 11), ('advmod', 11), ('conj', 1), ('det', 13), ('obj', 11), ('punct', 1)]","Also , avoid picking at the butterfly bandage or you could accidentally open the wound .","['RB', ',', 'VB', 'VBG', 'IN', 'DT', 'NN', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('xcomp', 3), ('case', 8), ('det', 8), ('compound', 8), ('obl', 4), ('cc', 13), ('nsubj', 13), ('aux', 13), ('advmod', 13), ('conj', 3), ('det', 15), ('obj', 13), ('punct', 3)]"
17,Make a dedicated bookmark file if you wish for your ideas so you can access it with a browser .,"['VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'PRP', 'VBP', 'IN', 'PRP$', 'NNS', 'IN', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']","[('root', 0), ('det', 5), ('amod', 5), ('compound', 5), ('obj', 1), ('mark', 8), ('nsubj', 8), ('advcl', 1), ('case', 11), ('nmod:poss', 11), ('obl', 8), ('mark', 15), ('nsubj', 15), ('aux', 15), ('advcl', 8), ('obj', 15), ('case', 19), ('det', 19), ('obl', 15), ('punct', 1)]",You can alsomake a dedicated bookmark file if you wish for your ideas so you can access it with a browser .,"['PRP', 'MD', 'VB', 'DT', 'VBN', 'NN', 'NN', 'IN', 'PRP', 'VBP', 'IN', 'PRP$', 'NNS', 'IN', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']","[('nsubj', 3), ('aux', 3), ('root', 0), ('det', 7), ('amod', 7), ('compound', 7), ('obj', 3), ('mark', 10), ('nsubj', 10), ('advcl', 3), ('case', 13), ('nmod:poss', 13), ('obl', 10), ('mark', 17), ('nsubj', 17), ('aux', 17), ('advcl', 10), ('obj', 17), ('case', 21), ('det', 21), ('obl', 17), ('punct', 3)]"
18,"Develop an infatuation with Hello Kitty , TMNT , Pokemon , dinosaurs , robots , superheroes ( Batman , Superman , etc ) , and other things that are commonly branded as childish .","['VB', 'DT', 'NN', 'IN', 'UH', 'NNP', ',', 'NNP', ',', 'NN', ',', 'NNS', ',', 'NNS', ',', 'NNS', '-LRB-', 'NNP', ',', 'NNP', ',', 'FW', '-RRB-', ',', 'CC', 'JJ', 'NNS', 'WDT', 'VBP', 'RB', 'VBN', 'RB', 'JJ', '.']","[('root', 0), ('det', 3), ('obj', 1), ('case', 5), ('obl', 1), ('flat', 5), ('punct', 8), ('conj', 6), ('punct', 10), ('conj', 6), ('punct', 12), ('conj', 6), ('punct', 14), ('conj', 6), ('punct', 16), ('conj', 6), ('punct', 18), ('conj', 6), ('punct', 20), ('conj', 18), ('punct', 22), ('conj', 6), ('punct', 18), ('punct', 27), ('cc', 27), ('amod', 27), ('conj', 6), ('nsubj:pass', 31), ('aux:pass', 31), ('advmod', 31), ('acl:relcl', 27), ('advmod', 33), ('xcomp', 31), ('punct', 1)]",Girls can also wear jean skirts or black stretch skirts as long as a decent pair of leggings are worn beneath ( you ca n't go wrong with solid black leggings ) .,"['NNS', 'MD', 'RB', 'VB', 'NNP', 'NNS', 'CC', 'JJ', 'NN', 'NNS', 'RB', 'RB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'VBP', 'VBN', 'RB', '-LRB-', 'PRP', 'MD', 'RB', 'VB', 'JJ', 'IN', 'JJ', 'JJ', 'NNS', '-RRB-', '.']","[('nsubj', 4), ('aux', 4), ('advmod', 4), ('root', 0), ('compound', 6), ('obj', 4), ('cc', 10), ('amod', 10), ('compound', 10), ('conj', 6), ('advmod', 12), ('advmod', 4), ('mark', 20), ('det', 16), ('amod', 16), ('nsubj:pass', 20), ('case', 18), ('nmod', 16), ('aux:pass', 20), ('advcl', 12), ('advmod', 20), ('punct', 26), ('nsubj', 26), ('aux', 26), ('advmod', 26), ('parataxis', 4), ('xcomp', 26), ('case', 31), ('amod', 31), ('amod', 31), ('obl', 27), ('punct', 26), ('punct', 4)]"
19,Wear tight band t-shirts,"['VB', 'JJ', 'NN', 'NNS']","[('root', 0), ('amod', 4), ('compound', 4), ('obj', 1)]",Tight band t-shirts,"['JJ', 'NN', 'NNS']","[('amod', 3), ('compound', 3), ('root', 0)]"
20,Keeps you in shape AND opens your mind to some cool techno-rock music that you can say you found on an underground website .,"['VBZ', 'PRP', 'IN', 'NN', 'CC', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', 'HYPH', 'NN', 'NN', 'WDT', 'PRP', 'MD', 'VB', 'PRP', 'VBD', 'IN', 'DT', 'JJ', 'NN', '.']","[('root', 0), ('obj', 1), ('case', 4), ('obl', 1), ('cc', 6), ('conj', 1), ('nmod:poss', 8), ('obj', 6), ('case', 15), ('det', 15), ('amod', 15), ('compound', 14), ('punct', 14), ('compound', 15), ('obl', 6), ('obj', 19), ('nsubj', 19), ('aux', 19), ('acl:relcl', 15), ('nsubj', 21), ('ccomp', 19), ('case', 25), ('det', 25), ('amod', 25), ('obl', 21), ('punct', 1)]",It keeps you in shape AND opens your mind to some cool techno-rock music that you can say you found on an underground website .,"['PRP', 'VBZ', 'PRP', 'IN', 'NN', 'CC', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', 'HYPH', 'NN', 'NN', 'WDT', 'PRP', 'MD', 'VB', 'PRP', 'VBD', 'IN', 'DT', 'JJ', 'NN', '.']","[('nsubj', 2), ('root', 0), ('obj', 2), ('case', 5), ('obl', 2), ('cc', 7), ('conj', 2), ('nmod:poss', 9), ('obj', 7), ('case', 16), ('det', 16), ('amod', 16), ('compound', 15), ('punct', 15), ('compound', 16), ('obl', 7), ('obj', 20), ('nsubj', 20), ('aux', 20), ('acl:relcl', 16), ('nsubj', 22), ('ccomp', 20), ('case', 26), ('det', 26), ('amod', 26), ('obl', 22), ('punct', 2)]"
21,get a GPS mobile phone,"['VB', 'DT', 'NN', 'JJ', 'NN']","[('root', 0), ('det', 5), ('compound', 5), ('amod', 5), ('obj', 1)]",GPS mobile phone,"['NN', 'JJ', 'NN']","[('compound', 3), ('amod', 3), ('root', 0)]"
22,get a GPS mobile phone,"['VB', 'DT', 'NN', 'JJ', 'NN']","[('root', 0), ('det', 5), ('compound', 5), ('amod', 5), ('obj', 1)]",GPS mobile phone,"['NN', 'JJ', 'NN']","[('compound', 3), ('amod', 3), ('root', 0)]"
23,"Pass B underneath A , over the plait , and into the middle position .","['VB', 'NN', 'JJ', 'NN', ',', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'DT', 'NN', 'NN', '.']","[('root', 0), ('compound', 4), ('amod', 4), ('obj', 1), ('punct', 1), ('case', 8), ('det', 8), ('obl', 1), ('punct', 14), ('cc', 14), ('case', 14), ('det', 14), ('compound', 14), ('conj', 8), ('punct', 1)]","Next , pass B underneath A , over the plait , and into the middle position .","['RB', ',', 'VB', 'NN', 'JJ', 'NN', ',', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'DT', 'NN', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('compound', 6), ('amod', 6), ('obj', 3), ('punct', 3), ('case', 10), ('det', 10), ('obl', 3), ('punct', 16), ('cc', 16), ('case', 16), ('det', 16), ('compound', 16), ('conj', 10), ('punct', 3)]"
24,"Tie the rest of your hair back with the scrunchie , and secure any wispy strays around your sectioned hair out of the way with kirby grips .","['VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'RB', 'IN', 'DT', 'NN', ',', 'CC', 'VB', 'DT', 'JJ', 'NNS', 'IN', 'PRP$', 'VBN', 'NN', 'IN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNS', '.']","[('root', 0), ('det', 3), ('obj', 1), ('case', 6), ('nmod:poss', 6), ('nmod', 3), ('advmod', 1), ('case', 10), ('det', 10), ('obl', 1), ('punct', 13), ('cc', 13), ('conj', 1), ('det', 16), ('amod', 16), ('obj', 13), ('case', 20), ('nmod:poss', 20), ('amod', 20), ('obl', 13), ('case', 24), ('case', 24), ('det', 24), ('obl', 13), ('case', 27), ('compound', 27), ('nmod', 24), ('punct', 1)]","As you do this , it 's a good idea to secure any wispy strays around your sectioned hair out of the way with kirby grips .","['IN', 'PRP', 'VBP', 'DT', ',', 'PRP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NNS', 'IN', 'PRP$', 'VBN', 'NN', 'IN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNS', '.']","[('mark', 3), ('nsubj', 3), ('advcl', 10), ('obj', 3), ('punct', 10), ('expl', 10), ('cop', 10), ('det', 10), ('amod', 10), ('root', 0), ('mark', 12), ('csubj', 10), ('det', 15), ('amod', 15), ('obj', 12), ('case', 19), ('nmod:poss', 19), ('amod', 19), ('obl', 12), ('case', 23), ('case', 23), ('det', 23), ('obl', 12), ('case', 26), ('compound', 26), ('nmod', 23), ('punct', 10)]"
25,"Pass A underneath B , then over the plait , and into the middle position .","['VB', 'DT', 'JJ', 'NN', ',', 'RB', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'DT', 'NN', 'NN', '.']","[('root', 0), ('det', 4), ('amod', 4), ('obj', 1), ('punct', 4), ('advmod', 9), ('case', 9), ('det', 9), ('obl', 1), ('punct', 15), ('cc', 15), ('case', 15), ('det', 15), ('compound', 15), ('conj', 4), ('punct', 1)]","Then , pass A underneath B , then over the plait , and into the middle position .","['RB', ',', 'VB', 'DT', 'JJ', 'NN', ',', 'RB', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'DT', 'NN', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('det', 6), ('amod', 6), ('obj', 3), ('punct', 6), ('advmod', 11), ('case', 11), ('det', 11), ('obl', 3), ('punct', 17), ('cc', 17), ('case', 17), ('det', 17), ('compound', 17), ('conj', 11), ('punct', 3)]"
26,"Cut off any excess thread , and save it for a future craft project .","['VB', 'RP', 'DT', 'NN', 'NN', ',', 'CC', 'VB', 'PRP', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']","[('root', 0), ('compound:prt', 1), ('det', 5), ('compound', 5), ('obj', 1), ('punct', 8), ('cc', 8), ('conj', 1), ('obj', 8), ('case', 14), ('det', 14), ('amod', 14), ('compound', 14), ('obl', 8), ('punct', 1)]","If there 's enough thread left , you can save it for a future craft project .","['IN', 'EX', 'VBZ', 'JJ', 'NN', 'VBN', ',', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']","[('mark', 3), ('expl', 3), ('advcl', 10), ('amod', 5), ('nsubj', 3), ('acl', 5), ('punct', 10), ('nsubj', 10), ('aux', 10), ('root', 0), ('obj', 10), ('case', 16), ('det', 16), ('amod', 16), ('compound', 16), ('obl', 10), ('punct', 10)]"
27,Visit https://www.energystar.gov/products/heating_cooling/air_conditioning_room?qt-consumers_product_tab=3#qt-consumers_product_tab for a comprehensive guide to what BTU rating most closely matches the size of your room .,"['VB', 'ADD']","[('root', 0), ('obj', 1)]","For a comprehensive guide to what BTU rating most closely matches the size of your room , visit https://www.energystar.gov/products/heating_cooling/air_conditioning_room?qt-consumers_product_tab=3#qt-consumers_product_tab .","['IN', 'DT', 'JJ', 'NN', 'IN', 'WDT', 'NN', 'NN', 'RBS', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'PRP$', 'NN', ',', 'VB', 'ADD']","[('case', 4), ('det', 4), ('amod', 4), ('obl', 18), ('mark', 11), ('det', 8), ('compound', 8), ('nsubj', 11), ('advmod', 10), ('advmod', 11), ('acl', 4), ('det', 13), ('obj', 11), ('case', 16), ('nmod:poss', 16), ('nmod', 13), ('punct', 18), ('root', 0), ('obj', 18)]"
28,Choose a standard dishwasher .,"['VB', 'DT', 'JJ', 'NN', '.']","[('root', 0), ('det', 4), ('amod', 4), ('obj', 1), ('punct', 1)]",A standard dishwasher measures .,"['DT', 'JJ', 'NN', 'NNS', '.']","[('det', 4), ('amod', 4), ('compound', 4), ('root', 0), ('punct', 4)]"
29,Make sure seller is wearing pants .,"['VB', 'JJ', 'NN', 'VBZ', 'VBG', 'NNS', '.']","[('root', 0), ('xcomp', 1), ('nsubj', 5), ('aux', 5), ('ccomp', 2), ('obj', 5), ('punct', 1)]",Also make sure seller is wearing pants .,"['RB', 'VB', 'JJ', 'NN', 'VBZ', 'VBG', 'NNS', '.']","[('advmod', 2), ('root', 0), ('xcomp', 2), ('nsubj', 6), ('aux', 6), ('ccomp', 3), ('obj', 6), ('punct', 2)]"
30,Search for information on industry trends in heavily forested states .,"['VB', 'IN', 'NN', 'IN', 'NN', 'NNS', 'IN', 'RB', 'VBN', 'NNS', '.']","[('root', 0), ('case', 3), ('obl', 1), ('case', 6), ('compound', 6), ('nmod', 3), ('case', 10), ('advmod', 9), ('amod', 10), ('obl', 1), ('punct', 1)]","Additionally , search for information on industry trends in heavily forested states .","['RB', ',', 'VB', 'IN', 'NN', 'IN', 'NN', 'NNS', 'IN', 'RB', 'VBN', 'NNS', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('case', 5), ('obl', 3), ('case', 8), ('compound', 8), ('nmod', 5), ('case', 12), ('advmod', 11), ('amod', 12), ('obl', 3), ('punct', 3)]"
31,Put string in it so the belts can slide in .,"['VB', 'NN', 'IN', 'PRP', 'IN', 'DT', 'NNS', 'MD', 'VB', 'RB', '.']","[('root', 0), ('obj', 1), ('case', 4), ('obl', 1), ('mark', 9), ('det', 7), ('nsubj', 9), ('aux', 9), ('advcl', 1), ('advmod', 9), ('punct', 1)]",Now Organize ! Put your belts in the slides of string .,"['RB', 'VB', '.']","[('advmod', 2), ('root', 0), ('punct', 2)]"
