,Source,Target
74,"Distribute your calories carefully among carbohydrates , protein , and fat .","Divide your calories carefully among carbohydrates , protein , and fat ."
75,Reuse the chimney balloon once the chimney is cold .,Reinflate the chimney balloon once the chimney is cold .
76,"Enter the address where you 'd like to send the envelope , in the same format .","Write the address where you 'd like to send the envelope , in the same format ."
77,Have a strong portfolio .,Develop a strong portfolio .
78,Look to see if a strap is n't loose if you still feel discomfort .,Check to see if a strap is n't loose if you still feel discomfort .
79,Rinse your hair thoroughly with cold water and apply conditioner .,Wash your hair thoroughly with cold water and apply conditioner .
80,Elevate Your Self Esteem,Improve Your Self Esteem
81,Consider a sledgehammer for thin slabs .,Use a sledgehammer for thin slabs .
82,Throw the snow as far away from the driveway as you can .,Get the snow as far away from the driveway as you can .
83,smoothe it in a allmost round but looking like a rock,Smooth it in a almost round but looking like a rock .
84,Do n't cuss at igloo competitions,Do n't curse at igloo competitions .
85,Take some raw potatoes .,Select some raw potatoes .
86,Be carefull dont trust any person with you because they could push you if you are in a wheelchair .,"Be careful , do n't trust any person with you because they could push you if you are in a wheelchair ."
87,Add First Stroke .,Apply First Stroke .
88,Add Second Stroke .,Apply Second Stroke .
89,Go the the Build tab .,Click the Build tab .
90,Save the Environment While Shopping,Help Save the Environment While Shopping
91,Go to the website you want to bookmark .,Visit the website you want to bookmark .
92,Digging your underground base .,Dig your underground base .
93,Clip your hair into sections .,Divide your hair into sections .
94,Adding levels to the leaves : cutting the portion that should be farther back gives a portion of the leave to give the illusion of the leaf folding over itself .,Adding levels to the leaves : cutting the portion that should be farther back gets a portion of the leaf to give the illusion of the leaf folding over itself .
95,Do not squish any bugs .,Do not try squish any bugs .
96,"Wanna know hot to be a sweet , fun girl ?","Want to know how to be a sweet , fun girl ?"
97,Being unaware of how much time is left on the game clock or shot clock .,Be aware of how much time is left on the game clock or shot clock .
98,Identify the five fundamental themes of geography .,Study the five fundamental themes of geography .
99,Note your computer 's name .,Click your computer 's name .
100,Apply the Normalizer Cream .,Remove the Normalizer Cream .
101,Use an international calling card .,Find an international calling card .
102,Find an international calling card .,Buy an international calling card .
103,do n't use water around the organ .,Do n't have water around the organ .
104,Observing the interests of your child,Observe the interests of your child .
105,Do n't stalk people .,Do n't annoy people .
106,Drink a variety of wines .,Taste a variety of wines .
107,Stretch the fabric gently while sewing it .,Straighten the fabric gently while sewing it .
108,Act Like a Princess,Behave Like a Princess
109,put your thumb on the bottom of the opener and slightly push down .,Place your thumb on the bottom of the opener and slightly push down .
110,Being a class clown does not always gets you cool .,Being a class clown does not always make you cool .
111,Protect : Small CondomsFits Length : 3 Inches - 6 InchesFits Girth : 4 Inches - 5 InchesExamples : Any condom represented as small or snug .,Fit : Small CondomsFits Length : 3 Inches - 6 InchesFits Girth : 4 Inches - 5 InchesExamples : Any condom represented as small or snug .
112,Create common ground .,Find common ground .
113,Perform the five daily prayers .,Offer the five daily prayers .
114,Do NOT look forward to this step too much .,Do notlook forward to this step too much .
115,Do n't be pushy .,Do n't be selfish .
116,Kill those people around you that create stress,Ignore those people around you that create stress
117,Add your shipping address .,Choose your shipping address .
118,"Click the "" Manage Payment Options "" link in the payment section .","Open the "" Manage Payment Options "" link in the payment section ."
119,Raise the dumbbells to their starting position on either side of your head .,Bring the dumbbells to their starting position on either side of your head .
120,Prefer canned beans .,Opt for canned beans .
121,Get a good username .,Choose a good username .
122,Take out the window pane .,Remove the window pane .
123,Do n't be fake .,Do n't be mean .
124,"Find a large , flat workspace where you can assemble your skateboard .","Use a large , flat workspace where you can assemble your skateboard ."
125,"Click the "" Then "" drop-down box .","Tap the "" Then "" drop-down box ."
126,acting anxious or fearful about doing something wrong,feel anxious or fearful about doing something wrong
127,Put on some good music .,Play some good music .
128,Consider your eyelid in thirds .,Divide your eyelid in thirds .
129,Paint a medium-sized rectangle in the middle of your lid .,Make a medium-sized rectangle in the middle of your lid .
130,Strengthen on your weakest links ! Math is n't your thing ?,Strenghten your weakest links ! Math is n't your thing ?
131,"Are you scared that your first kiss is going to be slimy , awkward , gross , or other things a first kiss is not supposed to be ?","Are you afraid that your first kiss is going to be slimy , awkward , gross , or other things a first kiss is not supposed to be ?"
132,Remove the chainsaw 's centrifugal clutch from the crank shaft .,Unscrew the chainsaw 's centrifugal clutch from the crank shaft .
133,Do n't ditch old friends .,Do n't neglect old friends .
134,Save the Environment While Shopping,Help Save the Environment While Shopping
135,Go to Camp McCarren .,Travel to Camp McCarren .
136,Go to AirDroid on your PC .,Install AirDroid on your PC .
137,Decide if cryptozoology is right for you .,Determine if cryptozoology is right for you .
138,Having control of your child / children when they come into the restaurant .,Keep control of your child / children when they come into the restaurant .
139,Attain a high school diploma or complete the General Education Development ( GED ) requirement .,Receive a high school diploma or complete the General Education Development ( GED ) requirement .
140,Send your art portfolio to tattoo shops with job openings .,Take your art portfolio to tattoo shops with job openings .
141,"Being active , going outside , and playing sports is the best way to build muscles every day .","Being active , going outside , and playing sports are the best ways to build muscles every day ."
142,Begin with something small .,Start with something small .
143,Have a Birthday Party,Plan a Birthday Party
144,Know the formula for calculating wavelength .,Define the formula for calculating wavelength .
145,Know the correct units .,Use the correct units .
146,Do n't be evil .,Do n't be mean
147,Do n't be evil .,Do n't be mean .
148,Do n't be evil .,Do n't be mean .
149,"Do n't say swear , it 's really stupid and rude .","Do n't swear , it 's really stupid and rude ."
150,Make a meal plan .,Develop a meal plan .
151,Buy a piece of property to situate your new home on .,Find a piece of property to situate your new home on .
152,Use an EPDM pond liner that is at least larger than the pond .,Install an EPDM pond liner that is at least larger than the pond .
153,Mull over the conveniences that are being offered .,Look over the conveniences that are being offered .
154,Create it into something else .,Make it into something else .
155,Get your rabbit into the carrier .,Place your rabbit into the carrier .
156,Give it a good living space .,Create a good living space .
157,Obtain a casket or alternative container for the body .,Select a casket or alternative container for the body .
158,Select an urn for storing the ashes .,Choose an urn for storing the ashes .
159,Do n't harm your sibling .,Do n't lie to your sibling .
160,Maintain a healthy diet .,Eat a healthy diet .
161,Realise relationships change .,Realize that relationships change .
162,Remeber you will earn special rewards and your siblings ( if you have any ) will get jealous,Remember that you will earn special rewards and your siblings ( if you have any ) will get jealous
163,Pray all of the prayers no matter what you need to do because that will show people that nothing will stop you from praying to Allah .,Offer all of the prayers no matter what you need to do because that will show people that nothing will stop you from praying to Allah .
164,Be especially careful around shy girls .,Be especially gentle around shy girls .
165,Put a napkin on your lap .,Keep a napkin on your lap .
166,"Cut the individual teeth , using the same small paring knife , then dig out a large area of flesh for the mouth cavity with a spoon .","Make the individual teeth , using the same small paring knife , then dig out a large area of flesh for the mouth cavity with a spoon ."
167,Look at freshwater versus saltwater pearls .,Compare freshwater versus saltwater pearls .
168,Put the dog into the tub .,Help the dog into the tub .
169,Take your own blanket and pillow .,Bring your own blanket and pillow .
170,Prepare the chicken legs .,Wash the chicken legs .
171,Preheat the oven to 350 degrees .,Heat the oven to 350 degrees .
172,Use safety pins In everything .,Put safety pins in everything .
173,Do n't be cheap .,Do n't be clingy .
174,Making the cyclic control system .,Make cyclic control system .
175,Apply the waist trimmer on your chest .,Put the waist trimmer on your chest .
176,Repeat your brainstorming session .,Document your brainstorming session .
177,Go to office hours .,Attend office hours .
178,Attend class regularly .,Go to class regularly .
179,Do not hangout with your enemy if you feel they might try and physically harm you .,Do not hang out with your enemy if you feel they might try to physically harm you .
180,Start to train your cockatiel .,Begin to train your cockatiel .
181,Ensure to break down big projects and assignments into smaller tasks to complete them on time .,Make sure to break down big projects and assignments into smaller tasks to complete them on time .
182,"Buy some modern , cool vases and some fake flowers to go along with them .","Purchase modern , cool vases and some fake flowers to go along with them ."
183,Buy some nice picture frames .,Find some nice picture frames .
184,Click on Back Up Automatically in the left pane of the dialog box if you want your Mac to back up at regular intervals .,Check Back Up Automatically in the left pane of the dialog box if you want your Mac to back up at regular intervals .
185,Click on Show Time Machine in menu bar to create a shortcut in the menu bar to Time Machine preferences and backup status .,Check Show Time Machine in menu bar to create a shortcut in the menu bar to Time Machine preferences and backup status .
186,"Building a relationship requires time , so use yours to get to know your parent one-on-one .","Building a relationship takes time , so use yours to get to know your parent one-on-one ."
187,Have a proper temperature and lighting .,Keep proper temperature and lighting .
188,Know where your type of tarantula typically lives .,Find out where your type of tarantula typically lives .
189,Pick an art director .,Become an art director .
190,Use an online FTE calculator .,Locate an online FTE calculator .
191,"Apply bold , neon eyeshadow .","Use bold , neon eyeshadow ."
192,go get a life you loser !,get a life you losers !
193,Do CPR on a Baby,Perform CPR on a Baby
194,remeber that when you show any sign of weakness or anger ( emotion ) you get them motivated to do more .,"Remember that when you show any sign of weakness or anger ( emotion ) , you get them motivated to do more ."
195,Get a blank DVD .,Insert a blank DVD .
196,Brush your hair and teeth,Brushing your hair and teeth .
197,Keep your fingernails trimmed,Keeping your fingernails trimmed .
198,Try layering necklaces .,Wear layering necklaces .
199,Wear ocean colors .,Choose ocean colors .
200,Are you a quiet student who enjoys reading and writing ?,Are you a quiet person who enjoys reading and writing ?
201,Build a Bird Bath,Make a Bird Bath
202,Take the determinant of the matrix .,Find the determinant of the matrix .
203,Manage a healthy weight .,Maintain a healthy weight .
204,Decide the size of the pond .,Determine the size of the pond .
205,Use the wedding guest list .,Make a wedding guest list .
206,Search for unfiltered wine as an alternative .,Look for unfiltered wine as an alternative .
207,Enable Location Services .,Tap Location Services .
208,Do n't be gross,Do n't be spoiled
209,Do n't be typical,Do n't be spoiled
210,Add goth accessories .,Pick goth accessories .
211,Observe the way you write and speak .,Analyze the way you write and speak .
212,Finish the wood with a clear gloss or lighter stain .,Coat the wood with a clear gloss or lighter stain .
213,Add the video you want to edit .,Import the video you want to edit .
214,Acquire a Ring of Sinewave Spheres in Excel,Create a Ring of Sinewave Spheres in Excel
215,Be prepared that different companies have different requirements .,Be aware that different companies have different requirements .
216,Receive the date and time of the meeting .,Learn the date and time of the meeting .
217,Go for a color that matches your skin tone .,Find a color that matches your skin tone .
218,Receive an associate 's degree in nursing .,Obtain an associate 's degree in nursing .
219,Do you wanna be just like Massie Block but you do n't look anything like her in real life ?,Do you want to be just like Massie Block but you do n't look anything like her in real life ?
220,Make short movies .,Watch short movies .
221,Adhere the boxes together .,Put the boxes together .
222,Consider your credit report .,View your credit report .
223,Bathe your leopard gecko .,Evaluate your leopard gecko .
224,Make a connection from all of the top layers of your walls inward .,Build a connection from all of the top layers of your walls inward .
225,Put one of the dough circles at the bottom of the cake pan .,Place one of the dough circles at the bottom of the cake pan .
226,Forget raking the leaves in the fall to provide food and shelter .,Skip raking the leaves in the fall to provide food and shelter .
227,Write a Life Plan,Make a Life Plan
228,Soaking the sponge in water first will prevent the sponge from soaking up too much foundation and wasting it .,Soaking the sponge in water first will keep the sponge from soaking up too much foundation and wasting it .
229,"Using very gentle pressure , scrub the wound with a clean cloth to make sure that it is completely clean after you 've flushed it out with saline solution or regular running water .","Using very gentle pressure , pat the wound with a clean cloth to make sure that it is completely clean after you 've flushed it out with saline solution or regular running water ."
230,Yell at boot camp .,Go to boot camp .
231,Yell at boot camp .,Go to boot camp .
232,Yell at boot camp .,Go to boot camp .
233,Yell at boot camp .,Go to boot camp .
234,Yell at boot camp .,Go to boot camp .
235,Go to boot camp .,Yell at boot camp .
236,Yell at boot camp .,Go to boot camp .
237,Be honest and sincere .,Be candid and sincere .
238,Do paper games .,Play paper games .
239,"Put your ball into your glove , and bring the ball up about halfway","Place your ball into your glove , and bring the ball up about halfway"
240,"Begin a debate by greeting your audience , stating your team 's argument , and by speaking slowly and clearly .","Open a debate by greeting your audience , stating your team 's argument , and by speaking slowly and clearly ."
241,Enter your credit card information .,Add your credit card information .
242,Make an attractive webpage and do add trailers of your movie .,Create an attractive webpage and do add trailers of your movie .
243,Pick your equipment wisely .,Choose your equipment wisely .
244,Do n't suppose everybody on your scoreboard is alive .,Do n't assume everybody on your scoreboard is alive .
245,Act Like a Princess,Behave Like a Princess
246,Become a lifelong learner .,Remain a lifelong learner .
247,Stretch your wrists regularly .,Strengthen your wrists regularly .
248,Have a thermometer and a humidity gauge in the tank .,Keep a thermometer and a humidity gauge in the tank .
249,Eat a protein-rich dinner .,Prepare a protein-rich dinner .
250,Buy a Computer Monitor,Choose a Computer Monitor
251,"Pratic a lot , know the music and scales on scales the faster you can play then cleanly the better","Practice a lot , know the music and scales on scales the faster you can play then cleanly the better ."
252,Press the Home button .,Tap the Home button .
253,Press the Home button .,Tap the Home button .
254,Watch the dragonball series and look how Goku acts at every instance .,Read the dragonball series and look how Goku acts at every instance .
255,"Have a glass of orange juice when taking your vitamins , or take a vitamin C supplement with them .","Drink a glass of orange juice when taking your vitamins , or take a vitamin C supplement with them ."
256,Do not buy a greyhound as a running companion .,Do not adopt a greyhound as a running companion .
257,Do n't get friends that will treat you rudely or like bullies .,"Do n't pick friends that will treat you rudely , or like bullies ."
258,Do this several days before getting your snake so that the temperature can regulate .,Set this up several days before getting your snake so that the temperature can regulate .
259,Have a good defensive posture and use your whole body to block the other player 's advance .,Keep a good defensive posture and use your whole body to block the other player 's advance .
260,Retrieve Deleted Emails from Hotmail,Restore Deleted Emails from Hotmail
261,Act Like a Princess,Behave Like a Princess
262,Wipe Clean the inside of the box with a damp cloth .,Clean the inside of the box with a damp cloth .
263,Disconnect negative battery cable .,Reconnect negative battery cable
264,do n't over go it with makeup,Do n't over do it with makeup .
265,Track your partner 's interests .,Notice your partner 's interests .
266,Be nice to people and they will most likely be nice back to you .,Be kind to people and they will most likely be kind back to you .
267,Have a protective barrier for your tortoise .,Create a protective barrier for your tortoise .
268,"Check the box next to "" Allow others to share my files and printer ( s ) and then click OK .","Uncheck the box next to "" Allow others to share my files and printer ( s ) "" and then click OK ."
269,Tap on the closest city to your location .,Select the closest city to your location .
270,Tap on at the bottom of the next screen .,Select at the bottom of the next screen .
271,Tap on to receive a verification code .,Select to receive a verification code .
272,Tap at the bottom of the screen .,Click at the bottom of the screen .
273,Tap on on the pop-up window to verify the phone number .,Click on on the pop-up window to verify the phone number .
274,Tap on or on the pop-up window .,Click on or on the pop-up window .
275,Have you ever tried to sneak out of your house and been caught before you made it out your front door ?,Have you ever attempted to sneak out of your house and been caught before you made it out your front door ?
276,Put your SUV in reverse .,Shift your SUV into reverse .
277,Put the rope between the grooves around the outside of the wheel .,Thread the rope between the grooves around the outside of the wheel .
278,Establish that there is nothing necessarily sexual about nudity .,Realize that there is nothing necessarily sexual about nudity .
279,Sleeping naked will make you feel better about nudity .,Sleeping naked will help you feel better about nudity .
280,Realize that nudity is natural .,Recognize that nudity is natural .
281,Buy echoes : The Best of Pink Floyd .,Echoes : The Best of Pink Floyd .
282,Open the Call Log .,Select the Call Log .
283,Purchase through a variety of payment options .,Pay through a variety of payment options .
284,Confirm the presence of excessive perspiration .,Look for the presence of excessive perspiration .
285,Get all of your records together .,Gather all of your records together .
286,Write your symbol on your forehead .,Draw your symbol on your forehead .
287,Learn the best places to hide .,Know the best places to hide .
288,Practice it into your daily game-play .,ice it into your daily game-play .
289,Apply a damp wash cloth .,Use a damp wash cloth .
290,"Staying in a relationship with a draining person deprives you from being happy , both physically and emotionally .","Staying in a relationship with a draining person prevents you from being happy , both physically and emotionally ."
291,GET two measuring cylinders .,Obtain two measuring cylinders .
292,Do n't go telling everyone that you 're dating someone if you are n't exactly sure about your relationship status yet .,Do n't start telling everyone that you 're dating someone if you are n't exactly sure about your relationship status yet .
293,Give share your reviews about your experiences with these different activities .,Share your reviews about your experiences with these different activities .
294,Share your reviews about your experiences with these different activities .,Submit your reviews about your experiences with these different activities .
295,Find the Page Layout options .,Click the Page Layout options .
296,"Choose the "" Custom Watermark "" option under the Watermark menu if you would like to use an image as a watermark for your background .","Select the "" Custom Watermark "" option under the Watermark menu if you would like to use an image as a watermark for your background ."
297,Find out what makes you angry .,Figure out what makes you angry .
298,Do different scales while using a tuner .,Play different scales while using a tuner .
299,Know which types of welding you 'll need for specific jobs .,Learn which types of welding you 'll need for specific jobs .
300,"make sure it 's partitioned as "" Mac OS Extended ( Journaled ) "" under the "" Partition "" section in Disk Utility .","Ensure it 's partitioned as "" Mac OS Extended ( Journaled ) "" under the "" Partition "" section in Disk Utility ."
301,Purchase an oil-based polyurethane and a wide foam brush .,Use an oil-based polyurethane and a wide foam brush .
302,Learn to slow down and enjoy life .,Try to slow down and enjoy life .
303,Take the muscle car body and increase the size of the fender openings with a dremel tool with a sanding drum .,Remove the muscle car body and increase the size of the fender openings with a dremel tool with a sanding drum .
304,Do n't do it on the makeup .,Do n't overdo it on the makeup .
305,Try a simple hairstyle .,Wear a simple hairstyle .
306,tell about it to your friends or siblings .,Talk about it with your friends or siblings .
307,Put dim lights like fairy lights into your hiding place .,Include dim lights like fairy lights into your hiding place .
308,Plan a schedule for watching the movies .,Make a schedule for watching the movies .
309,Find a list of reflexology schools near you .,Create a list of reflexology schools near you .
310,Get an Alien Baby in the Sims 2,Have an Alien Baby in The Sims 2
311,Skip everyday being happy and acting healthy .,Pass everyday being happy and acting healthy .
312,Get to grips with the basics .,Come to grips with the basics .
313,Get a radiator key .,Find a radiator key .
314,Go through with the boycotting of the animal-testing products .,Follow through with the boycotting of the animal-testing products .
315,Choose a color scheme .,Select a color scheme .
316,"Giving him frequent hugs , for example may be friendly to you but he may interpret it as a romantic gesture .","Giving him frequent hugs , for example , may seem friendly to you but he may interpret it as a romantic gesture ."
317,Go to your first tournament .,Enter your first tournament .
318,Use concealer under your eyes and on blemishes .,Apply concealer under your eyes and on blemishes .
319,Do n't Text and Drive !,Do n't drink and Drive !
320,"Stop the board before it spins too much , make sure your fingers land in the right place .","Catch the board before it spins too much , make sure your fingers land in the right place ."
321,Put the paper sheet on a wood board,Place the paper sheet on a wood board .
322,Learn your skin type .,Determine your skin type .
323,Put a little clear nail polish for a healthy look .,Wear a little clear nail polish for a healthy look .
324,Tell everyone you know that you are looking for organizations who want a good motivational speaker .,Inform everyone you know that you are looking for organizations who want a good motivational speaker .
325,"Boarding the plane typically occurs half an hour before takeoff , so you may have plenty of time to kill .","Boarding the plane typically begins half an hour before takeoff , so you may have plenty of time to kill ."
326,Put one weight in each hand .,Place one weight in each hand .
327,"Use baggy , ripped , patched jeans .","Buy baggy , ripped , or patched jeans ."
328,"Go listen to screamo , symphonic metal , gothic music , crunk , classical , or something else you had n't given a chance before .","Listen to screamo , symphonic metal , gothic music , crunk , classical , or something else you had n't given a chance before ."
329,"Draw on the plywood a basic curve of your ramp and add an extra flat spot at the top , a little shorter and a little longer for distance and taller for height .","Sketch on the plywood a basic curve of your ramp and add an extra flat spot at the top , a little shorter and a little longer for distance and taller for height ."
330,Covering the dark circles,Cover the dark circles .
331,Pull out initial request files / first application information,Take out initial request files / first application information
332,Create your beauty salon 's web site .,Design your beauty salon 's web site .
333,"Pack a hair straighteners and some make-up , you have to look your best !","Take hair straighteners and some make-up , you have to look your best !"
334,Are you looking to erect your own fence to save money ?,Are you planning to erect your own fence to save money ?
335,Have your feet in an ollie position .,Put your feet in an ollie position .
336,Find chlorella supplements .,Consider chlorella supplements .
337,Throw some kelp or spirulina powder in a smoothie .,Add some kelp or spirulina powder in a smoothie .
338,Know what skills to look for in a program .,List what skills to look for in a program .
339,Decide between community college or vocational schools .,Choose between community college or vocational schools .
340,Go to medical school .,Finish medical school .
341,Arrange the bacon on the rack .,Lay the bacon on the rack .
342,Bake a Moist Chocolate Cake,Make a Moist Mayo Chocolate Cake
343,Have short-term memory loss .,Develop short-term memory loss .
344,Decide what software you will need .,Consider what software you will need .
345,Go Underwater Without Holding Your Nose,Swim Underwater Without Holding Your Nose
346,Stick the pan into the oven for 25 minutes at 350 degrees .,Place the pan into the oven for 25 minutes at 350 degrees .
347,Stick the cake back into the oven for five minutes or until done .,Place the cake back into the oven for five minutes or until done .
348,"Froun a lot , and smile when something funny comes up , dont burst out laghing just smile .","Frown a lot , and smile when something funny comes up , do n't burst out laughing just smile ."
349,Know the power of gloominess .,Feel the power of gloominess .
350,Brush their coats at least once a week to control shedding and ensure that the natural oils from their skin are distributed throughout their fur .,Comb their coats at least once a week to control shedding and ensure that the natural oils from their skin are distributed throughout their fur .
351,Get on his good side .,Stay on his good side .
352,Be a Responsible Teenager,Be a Responsible Teen
353,Elevate Your Self Esteem,Improve Your Self Esteem
354,Keep your everyday cutlery and cups in nearby drawers or cabinets .,Store your everyday cutlery and cups in nearby drawers or cabinets .
355,Chatting can really take the hours away .,Chatting can really whisk the hours away .
356,Do n't tell make deals with people to vote on each there 's stories so that you can gain fame .,Do n't make deals with people to vote on each there 's stories so that you can gain fame .
357,Move like a vampire .,Speak like a vampire .
358,Move like a vampire .,Speak like a vampire .
359,Control the water temperature .,Check the water temperature .
360,Try on your homework .,Do your homework .
361,"Dislike the Los Angeles Lakers , New York Knicks , Philadelphia 76ers , and the Detroit Pistons .","Hate the Los Angeles Lakers , New York Knicks , Philadelphia 76ers , and the Detroit Pistons ."
362,Market Your Store .,Set Up Your Store .
363,"Do not yourself , as this is not healthy behavior .","Do not cut yourself , as this is not healthy behavior ."
364,Put the pans on the center rack of the preheated oven .,Place the pans on the center rack of the preheated oven .
365,Enter the maiden name of female siblings when possible .,Use the maiden name of female siblings when possible .
366,Use multidimensional arrays .,Declare multidimensional arrays .
367,Take 2 cups of sugar free tea daily .,Drink 2 cups of sugar free tea daily .
368,Know the difference between non-exclusive and exclusive .,Learn the difference between non-exclusive and exclusive .
369,Tell her to dress properly and speak in proper English .,Ask her to dress properly and speak in proper English .
370,Tell your girlfriend in advance to be polite and chatty with your parents .,Ask your girlfriend in advance to be polite and chatty with your parents .
371,Make a price or bargain for it,Name a price or bargain for it .
372,Bring a deck of cards as you can play card games .,Take a deck of cards as you can play card games .
373,have you ever fell down the stairs ?,Have you ever fallen down the stairs ?
374,Open an email from a person whom you 'd like to add .,Find an email from a person whom you 'd like to add .
375,"Locate the bread plate slightly above and to the left of the dinner plate , with the butter knife resting across the plate .","Place the bread plate slightly above and to the left of the dinner plate , with the butter knife resting across the plate ."
376,Make sure that the type and quality of art you want to show is actually being made and is available to you .,Ensure that the type and quality of art you want to show is actually being made and is available to you .
377,Have you ever helping someone ?,Have you ever tried helping someone ?
378,"Take off a large piece of plastic ( and the big screw it 's attached with ) in the rear of the "" pistol "" .","Remove a large piece of plastic ( and the big screw it 's attached with ) in the rear of the "" pistol "" ."
379,Finding a puffy shirt and wear it all the time .,Find a puffy shirt and wearing it all the time .
380,Have a pirate-like swagger in your step .,Add a pirate-like swagger in your step .
381,Run Cheat Engine .,Return to Cheat Engine .
382,Earn Respect at Work,Get Respect at Work
383,Get a Pokemon game .,Find a Pokemon game .
384,Tell them you are here today for a test drive .,Say that you are here today for a test drive .
