,Source,Target_x,Target_y
22,"Do this until the wood is smooth , flat , and even , and there is no left over finish .","Do this until the wood is smooth , flat , and even , and there is no left over finish / paint .","Do this until the wood is smooth , flat , and even , and there is no left over finish / paint ."
23,Replace the soil monthly and remove old food pieces weekly .,Replace the soil weekly and remove old food pieces weekly .,Replace the soil weekly and remove old food pieces weekly .
24,Feed your vegetables and fruits .,Feed your slug vegetables and fruits .,Feed your slug vegetables and fruits .
25,Make sure to sift through soil before adding it to your aquarium to remove any other bugs .,Make sure to sift through soil before adding it to your aquarium to remove any bugs .,Make sure to sift through soil before adding it to your aquarium to remove any bugs .
26,"Do n't forget black eyeliner , and indie style hair bows .","Do n't forget black eyeliner , and indie style hair bows / bands .","Do n't forget black eyeliner , and indie style hair bows / bands ."
27,Make sure you really want to end this friendship .,Make sure you want to end this friendship .,Make sure you want to end this friendship .
28,Are you wondering how to be as beautiful as you can be ?,Are you wondering how to be as pretty as you can be ?,Are you wondering how to be as pretty as you can be ?
29,Behaving with the right attitude will help you find your beauty .,Behaving with the right attitude will help you find your inner beauty .,Behaving with the right attitude will help you find your inner beauty .
30,"Depending on the court 's digitization efforts , many criminal records are available for viewing online .","Depending on the court 's digitization efforts , many criminal court records are available for viewing online .","Depending on the court 's digitization efforts , many criminal court records are available for viewing online ."
31,Determine if you want a complete criminal record or if you are looking for records of specific infractions or convictions .,Determine if you want a complete criminal court record or if you are looking for records of specific infractions or convictions .,Determine if you want a complete criminal court record or if you are looking for records of specific infractions or convictions .
32,Go to middle school baseball if your school has it .,Play middle school baseball if your school has it .,Play middle school baseball if your school has it .
33,Travel on a Budget,Travel on a Limited Budget,Travel on a Limited Budget
34,Look at these positions to get an idea of what is and is not a good height :,Look at these positions to get an idea of what is and what is not a good height :,Look at these positions to get an idea of what is and what is not a good height :
35,Adjust the seat .,Adjust the seat height .,Adjust the seat height .
36,"Keep the breeding tank very simple without the presence of wheels , toys or toys and should be one level only .","Keep the breeding tank very simple without the presence of wheels , or toys and should be one level only .","Keep the breeding tank very simple without the presence of wheels , or toys and should be one level only ."
37,"Think of people you can talk to when you 're having a bad day & mdash ; parents , friends , siblings , and other people in your life .","Think of people you can talk to when you 're having a bad day — parents , friends , siblings , and other people in your life .","Think of people you can talk to when you 're having a bad day — parents , friends , siblings , and other people in your life ."
38,Check on it several times a day .,Check on it a few times a day .,Check on it a few times a day .
