,Source,Target
52,"Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would say that .","Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL get you banned , and Zuko would not say that ."
53,"Do this until the wood is smooth , flat , and even , and there is no left over finish .","Do this until the wood is smooth , flat , and even , and there is no left over finish / paint ."
54,Measure the length of the outer edges with a tape measure and write down the measurements .,Measure the length and height of the outer edges with a tape measure and write down the measurements .
55,Pour in the middle and let it level .,Pour in the middle and let it self-level .
56,Pour the epoxy glaze coat mixture over the top of the table .,Pour some of the epoxy glaze coat mixture over the top of the table .
57,Spread from the middle to the outer edge of the table .,Spread the glaze from the middle to the outer edge of the table .
58,"Feed your slug green lettuce , kale , cucumber slices and other veggies .","Feed your slug green lettuce , dogfood , kale , cucumber slices and other veggies ."
59,"Dont wear trousers , there silly , for scene kids .","Do n't wear trousers , they 're silly , for scene kids ."
60,"Do n't make your self , look daft . / Take steps beyond belief .",Do n't make yourself look daft . / Take steps beyond belief .
61,"Do n't forget black eyeliner , and indie style hair bows .","Do n't forget black eyeliner , and indie style hair bows / bands ."
62,Try going for either pure black or peroxide blonde .,Try going for either pure black or peroxide / platinum blonde .
63,Try to get 1 or 2 ( real ) friends that know their faking to join up with you .,Try to get 1 or 2 ( real ) friends that know they 're faking to join up with you .
64,"Talk to you family or very close friends , your support system , and see what they say about the situation .","Talk to your family , close friends , or your support system ; and see what they say about the situation ."
65,"Be firm about what you want and what you do n't want in your friendships in general , and in this friendship going forward .","Be firm about what you want and what you do n't want in your friendships , and in this friendship going forward ."
66,"Remember there is water is fruits , Such as watermelon , pomegranate , and cucumber .","Remember there is water in fruits such as watermelon , pomegranate , and cucumber ."
67,"Practice good posture at all times ( sitting , standing , walking ) , especially when you 're walking alone .","Practice good posture at all times ( sitting , standing , walking ) , even when you 're alone ."
68,Do n't get too obsessed every minute on how you look .,Do n't get too obsessed about how you look .
69,Be the best you you can be .,Be the best person that you can be .
70,Save your self some room in your budget for the unexpected costs .,Save yourself some room in your budget for the unexpected costs .
71,Tell him that it 's not exactly what you are looking for that you just do n't know if you should take it home or not .,Tell him that it 's not exactly what you are looking for and that you do n't know if you should take it home or not .
72,Determine the type and size that you want .,Choose the type and size of dirt bike you want .
73,Choose the type and size of dirt bike you want .,Choose the type and model of bike you want to buy .
74,Remember that spending less can often cost more in the future .,Spending less can often cost more in the future .
75,"Remember that if a used bike breaks , you have very little chance of a refund if you bought from some guy on eBay or Craigslist .","Remember that if a used bike breaks , you have very little chance of a refund if you bought it on eBay or Craigslist ."
76,Submit a records request for yourself .,Submit a records request for your own record .
77,Submit a records request for someone else 's records .,Submit a records request for your own record .
78,Developing into a male or female fish only occurs as they get older .,Developing into a male or female fish only occurs as the firsh get older .
79,Recognize the changes in clownfish behavior that will signal spawning .,Recognize the changes in clownfish behavior that signal spawning .
80,Make sure the seat is pointed directly forward .,Make sure the seat is far enough forward for you .
81,Make sure the seat is far enough forward for you .,Make sure the seat is far enough forward for a comfortable ride .
82,Go for a test ride .,Check your measurement on a test ride .
83,Be more patient .,Be more patient with others .
84,Find extra things to do around the house to alleviate stress off your partner .,Find extra things to do around the house to alleviate your partner 's stress .
85,Fill it with water so you can flush the toilet and wash .,Fill the tub with water so you can flush the toilet and wash .
86,Try a Red Cross one .,Try a Red Cross First Aid Kit .
87,Do not let any gerbils hurt eachother .,Do not let any gerbils hurt each other .
88,Buy from a breeder rather than from a pet store .,Buy your gerbils from a breeder rather than from a pet store .
89,Put the gerbils in the same cage together once they 're comfortable .,Put the gerbils together in the same cage once they 're comfortable .
90,Watch them closely for 30 minutes to see if they behave well .,Watch them closely for 30 minutes to see how they behave .
91,Get at least 8 hours of sleep a night .,Get at least 8 hours of sleep .
92,"Think of people you can talk to when you 're having a bad day & mdash ; parents , friends , siblings , and other people in your life .","Think of people you can talk to when you 're having a bad day — parents , friends , siblings , and other people in your life ."
